nom_amenageur,siren_amenageur,contact_amenageur,nom_operateur,contact_operateur,telephone_operateur,nom_enseigne,id_station_itinerance,id_station_local,nom_station,implantation_station,adresse_station,code_insee_commune,coordonneesXY,nbre_pdc,id_pdc_itinerance,id_pdc_local,puissance_nominale,prise_type_ef,prise_type_2,prise_type_combo_ccs,prise_type_chademo,prise_type_autre,gratuit,paiement_acte,paiement_cb,paiement_autre,tarification,condition_acces,reservation,horaires,accessibilite_pmr,restriction_gabarit,station_deux_roues,raccordement,num_pdl,date_mise_en_service,observations,date_maj,cable_t2_attache,last_modified,datagouv_dataset_id,datagouv_resource_id,datagouv_organization_or_owner,created_at,consolidated_longitude,consolidated_latitude,consolidated_code_postal,consolidated_commune,consolidated_is_lon_lat_correct,consolidated_is_code_insee_verified
Hôtel Restaurant Campanile Nogent-sur-Marne,349009423,manager.nogentsurmarne@campanile.fr,ELECTROMAPS,oscar@electromaps.com,34 931.574.967,Hôtel Restaurant Campanile Nogent-sur-Marne,FR000012292701,02af2893-256f-4124-8d58-c728dc38f720,Hôtel Restaurant Campanile Nogent-sur-Marne,Parking privé à usage public,13 Quai du Port 94130 Nogent-sur-Marne France,94052,"[2.493569567590577, 48.832677935169805]",2,FR000012292701,02af2893-256f-4124-8d58-c728dc38f720,22,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,0,Accès libre,FALSE,"Mo-Fr 08:00-12:00,Mo-Fr 14:00-18:00,Th 08:00-18:00",Accessible mais non réservé PMR,/,FALSE,Direct,02af2893-256f-4124-8d58-c728dc38f720,2022-02-22,PAIEMENT PAR QR CODE possible ,2022-05-12,,2023-12-13T07:09:30.315000+00:00,62c2eb96061d02ac89251592,decebb5f-b26b-4498-8550-552269b43fb5,maneo,2022-07-04T15:31:02.580000+00:00,2.493569567590577,48.832677935169805,94130,Nogent-sur-Marne,True,True
Acelec,301192464,acelec@acelec-france.com,Acelec Charge,acelec@acelec-france.com,01 81 73 03 50,HOTEL KYRIAD PARIS BEZONS,FR073PKYRIADBEZONS,,HOTEL KYRIAD PARIS BEZONS,Parking privé à usage public,80 Av. Gabriel Péri 95870 BEZONS,95063,"[2.212336,48.931356]",1,FR073EJJYD51230,FR073EKYRIADBEZONS1,22,true,true,false,false,false,false,true,true,true,,Accès libre,false,Mo-Fr 08:00-19:01,Accessible mais non réservé PMR,pas de restrictions,false,Indirect,30002100000000,2022-05-31,"Recharge uniquement pendent les heures d'ouverture. Recharge pas QRcode, RFID....",2022-07-21,,2023-12-13T07:03:01.805000+00:00,6206751195a42c8cc3c1c5fa,70dde2a8-8498-4c8a-a28a-6e23631be45f,acelec-charge,2022-07-21T14:36:25.038000+00:00,2.212336,48.931356,95870,Bezons,True,True
Acelec,301192464,acelec@acelec-france.com,Acelec Charge,acelec@acelec-france.com,01 81 73 03 50,Acelec,FR073P777022,,Parking Acelec,Parking privé à usage public,"3 avenue irene joliot curie, 77700 Bailly-romainvilliers",77018,"[2.798854,48.841032]",2,FR073ERJ5G5279,FR073E77700221,22,false,true,false,false,false,false,true,true,true,0.27€/kWh+0.10€/min pour les non abonnées,Accès libre,false,Mo-Fr 08:00-19:00,Accessible mais non réservé PMR,pas de restrictions,false,Indirect,50088800000000,2022-04-30,"Recharge uniquement pendent les heures d'ouverture. Recharge pas QRcode, RFID....",2022-07-21,,2023-12-13T07:03:01.805000+00:00,6206751195a42c8cc3c1c5fa,70dde2a8-8498-4c8a-a28a-6e23631be45f,acelec-charge,2022-07-21T14:36:25.038000+00:00,2.798854,48.841032,77700,Bailly-Romainvilliers,True,True
Acelec,301192464,acelec@acelec-france.com,Acelec Charge,acelec@acelec-france.com,01 81 73 03 50,HOTEL KYRIAD PARIS BEZONS,FR073PKYRIADBEZONS,,HOTEL KYRIAD PARIS BEZONS,Parking privé à usage public,80 Av. Gabriel Péri 95870 BEZONS,95063,"[2.212311,48.931373]",1,FR073ERR6V51366,FR073EKYRIADBEZONS2,22,false,true,false,false,false,false,true,true,true,,Accès libre,false,Mo-Fr 08:00-19:01,Accessible mais non réservé PMR,pas de restrictions,false,Indirect,30002100000000,2022-05-31,"Recharge uniquement pendent les heures d'ouverture. Recharge pas QRcode, RFID....",2022-07-21,,2023-12-13T07:03:01.805000+00:00,6206751195a42c8cc3c1c5fa,70dde2a8-8498-4c8a-a28a-6e23631be45f,acelec-charge,2022-07-21T14:36:25.038000+00:00,2.212311,48.931373,95870,Bezons,True,True
Acelec,301192464,acelec@acelec-france.com,Acelec Charge,acelec@acelec-france.com,01 81 73 03 50,Camaïeu France,FR073PCAMAIEUFR,,CAMAÏEU FRANCE,Parking privé à usage public,211 Av. Jules Brame  59100 Roubaix,59512,"[3.207246,50.68494]",1,FR073EYLF65474,FR073ECAMAIEUFR8,22,false,true,false,false,false,false,true,true,true,0.299€/kWh+0.0230€/min pour les recharge en roaming,Accès libre,false,Mo-Su 08:00-08:00,Accessible mais non réservé PMR,pas de restrictions,false,Indirect,30000110910030,2022-07-12,"Recharge uniquement pendent les heures d'ouverture. Recharge pas QRcode, RFID....",2022-07-21,,2023-12-13T07:03:01.805000+00:00,6206751195a42c8cc3c1c5fa,70dde2a8-8498-4c8a-a28a-6e23631be45f,acelec-charge,2022-07-21T14:36:25.038000+00:00,3.207246,50.68494,59100,Roubaix,True,True
LE ROUX LOISIRS,453386120,tech@domainedependruc.com,freshmile,gregoire.schaffhauser@freshmile.com,368781435,reseau A,FR1EKAFD1,5b9d993c-4996-4fba-b010-3c9b58a8f8a4,camping pendruc Tregunc,Parking privé à usage public,camping pendruc 29910 TREGUNC,29293,"[-3.88,47.84]",2,FR1EKAFD1,c1f7b1dc-1f4c-4911-b0d0-7f2d771c77bd,7,true,true,false,false,false,false,true,true,false,0.40 kw/h,Accès libre,false,24/7,Accessible mais non réservé PMR,hauteur max 2 m,true,Indirect,neant,2023-07-01,neant,2023-07-01,false,2023-08-28T16:42:37.519000+00:00,64ecb25d033869ae1c73e38a,4893d000-9219-409a-a759-69dc8008584c,rsb-zni-non-parking-camping-supervision-non,2023-08-28T14:42:37.572000+00:00,-3.88,47.84,29910,Trégunc,True,True
R3,902726488,info@r3-charge.fr,R3,exploitation@r3-charge.fr,321509292,R3,FR3R3P89251522,,R3 - Norauto Fâches Thumesnil,Parking privé à usage public,Centre commercial Auchan Rue de l'égalité prolongée  59155 Faches Thumesnil,59220,"[3.08386, 50.58572]",5,FR3R3E10000849141,,150,false,false,true,false,false,false,true,true,,"0,55€/kWh",Accès libre,false,24/7,Accessible mais non réservé PMR,,false,Direct,50029756672465,2022-12-01,,2023-11-22,false,2023-12-13T07:08:00.298000+00:00,655c7fb899abb26d52bcdfa0,142f6ac7-5cb4-4fac-b211-2c5d88a22d83,r3,2023-11-22T13:59:50.594000+00:00,3.08386,50.58572,59155,Faches-Thumesnil,True,True
R3,902726488,info@r3-charge.fr,R3,exploitation@r3-charge.fr,321509292,R3,FR3R3P89258268,,R3 - Norauto Noyelles Godault,Parking privé à usage public,Avenue de la République 62950 Noyelles-Godault,62624,"[2.988355, 50.413551]",5,FR3R3E10000849151,,150,false,false,true,false,false,false,true,true,,"0,55€/kWh",Accès libre,false,24/7,Accessible mais non réservé PMR,,false,Direct,50022807040251,2023-01-11,,2023-11-22,false,2023-12-13T07:08:00.298000+00:00,655c7fb899abb26d52bcdfa0,142f6ac7-5cb4-4fac-b211-2c5d88a22d83,r3,2023-11-22T13:59:50.594000+00:00,2.988355,50.413551,62950,Noyelles-Godault,True,True
R3,902726488,info@r3-charge.fr,R3,exploitation@r3-charge.fr,321509292,R3,FR3R3P89258297,,R3 - Norauto Reims Cormontreuil,Parking privé à usage public,Rue des Blancs Monts 51350 Cormontreuil,51172,"[4.055979, 49.213929]",5,FR3R3E10000849171,,150,false,false,true,false,false,false,true,true,,"0,55€/kWh",Accès libre,false,24/7,Accessible mais non réservé PMR,,false,Direct,50067232997580,2022-11-22,,2023-11-22,false,2023-12-13T07:08:00.298000+00:00,655c7fb899abb26d52bcdfa0,142f6ac7-5cb4-4fac-b211-2c5d88a22d83,r3,2023-11-22T13:59:50.594000+00:00,4.055979,49.213929,51350,Cormontreuil,True,True
R3,902726488,info@r3-charge.fr,R3,exploitation@r3-charge.fr,321509292,R3,FR3R3P89258302,,R3 - Norauto Roncq,Parking privé à usage public,"324 Rue Henri Barbusse, 59223 Roncq",59508,"[3.133115, 50.740027]",5,FR3R3E10000849191,,150,false,false,true,false,false,false,true,true,,"0,55€/kWh",Accès libre,false,24/7,Accessible mais non réservé PMR,,false,Direct,50065498800757,2023-03-03,,2023-11-22,false,2023-12-13T07:08:00.298000+00:00,655c7fb899abb26d52bcdfa0,142f6ac7-5cb4-4fac-b211-2c5d88a22d83,r3,2023-11-22T13:59:50.594000+00:00,3.133115,50.740027,59223,Roncq,True,True
